# id	name	race	hp	atk	def	agi	mp	bprate	skills
	兔耳初心粉紅雞		19	12	15	37	40	0.2	
	印第安魔力小雞		19	39	15	42	10	0.2	
	大法官魔力小雞		19	10	15	42	39	0.2	
	牛仔帽魔力小雞		19	42	15	39	10	0.2	
	紳士裝魔力小雞		19	10	15	39	42	0.2	
	布偶夏莉		19	9	17	34	44	0.2	
	布偶凱琪		15	9	16	43	40	0.2	
	布偶艾菈		16	9	42	17	39	0.2	
	布偶米琪		30	47	14	23	9	0.2	
	布偶紫音		37	38	29	10	9	0.2	
	飛馬公主		16	6	14	43	46	0.2	
	飛馬王子		35	41	16	27	6	0.2	
	愛神丘比特		16	12	15	40	42	0.2	
	小丑魚霸王		19	42	13	45	6	0.2	
	風暴小丑魚王		16	6	14	45	44	0.2	
	碧波小丑魚		16	39	15	43	10	0.2	
	蒼角小丑魚		18	40	14	41	10	0.2	
	赤丸小丑魚		17	39	15	42	10	0.2	
	魔方小丑魚		20	40	13	40	10	0.2	
	歐特奇美拉		24	22	22	35	17	0.2	
	疾風奇美拉		20	6	8	45	46	0.2	
	水母霸王		42	9	11	17	46	0.2	
	雷暴娃娃水母		47	6	11	46	15	0.2	
	晴天娃娃水母		36	9	23	13	42	0.2	
	小雨娃娃水母		35	9	23	12	44	0.2	
	大雪娃娃水母		34	9	20	15	45	0.2	
	多雲娃娃水母		34	9	21	16	43	0.2	
	符能青鸞		23	40	10	46	6	0.2	
	石像魔王		12	36	13	18	46	0.2	
	露比		12	18	12	39	39	0.2	
	魅影露比		17	6	10	42	50	0.2	
	山吹		13	23	25	22	37	0.2	
	咒殺型山吹		15	6	11	47	46	0.2	
	暗影鳥人		15	8	16	44	42	0.2	
	綠帽哥布林		29	41	23	21	11	0.2	
	寒冰牛頭怪		26	31	24	21	18	0.2	
	寒冰牛魔王		15	47	12	45	6	0.2	
	李貝留斯		17	18	27	23	40	0.2	
	軍王李貝留斯		14	8	13	43	47	0.2	
	巴洛斯		33	19	34	23	16	0.2	
	邪神巴洛斯		43	27	32	15	8	0.2	
	阿卡斯		25	17	34	17	32	0.2	
	狂魔阿卡斯		19	6	33	20	47	0.2	
	佛利波羅		26	30	30	22	12	0.2	
	魔化佛利波羅		37	43	21	18	6	0.2	
	梅茲		25	29	14	32	20	0.2	
	忍王梅茲		24	45	4	46	6	0.2	
	斧頭幫千軍		31	49	20	19	6	0.2	
	斧頭幫萬馬		38	8	19	18	42	0.2	
	火焰牛頭怪		16	30	20	32	22	0.2	
	煉獄牛頭怪		41	6	16	19	43	0.2	
	艾兒卡絲		42	6	20	17	40	0.2	
	毆茲那克		28	36	19	19	18	0.2	
	熊霸毆茲那克		50	37	12	20	6	0.2	
	歐茲尼克		21	36	13	28	22	0.2	
	煞氣歐茲尼克		14	50	12	43	6	0.2	
	愛絲精靈		52	30	17	18	8	0.2	
	絲諾精靈		30	52	17	18	8	0.2	
	雪兒精靈		14	8	14	42	47	0.2	
	聖誕精靈		14	42	14	47	8	0.2	
	牛鬼		24	29	24	29	14	0.2	
	強襲牛鬼		28	50	21	20	6	0.2	
	屠龍鬥士		51	24	30	13	6	0.2	
	皎月之靈		20	8	13	34	50	0.2	
	暗月之靈		29	50	12	26	8	0.2	
	月宮之靈		22	9	43	9	41	0.2	
	水月之靈		41	9	22	9	43	0.2	
	猩紅之靈		22	43	9	41	9	0.2	
	風月之靈		9	41	22	43	9	0.2	
	西瓜大地鼠		17	17	47	17	17	0.2	
	祭奠火焰鼠		17	47	17	17	17	0.2	
	浮潛惡夢鼠		17	17	17	17	47	0.2	
	兜風寶石鼠		17	17	17	47	17	0.2	
	漂漂水藍鼠		52	17	17	17	17	0.2	
	月獅		30	32	13	26	22	0.2	
	雪獅		36	32	18	24	13	0.2	
	蝕月炎獸		43	6	16	18	42	0.2	
	暴雪魔獸		50	40	12	17	6	0.2	
	純金豬王		48	33	23	15	6	0.2	
	粉心王妃		30	6	31	14	43	0.2	
	呆萌豬王		30	45	15	28	6	0.2	
	白眉豬王		31	6	16	28	43	0.2	
	銀豬太郎		37	34	31	13	8	0.2	
	粉豬太郎		30	8	31	13	40	0.2	
	棕豬太郎		33	36	16	29	8	0.2	
	灰豬太郎		32	8	17	24	41	0.2	
	銅豬寶寶		35	31	34	11	10	0.2	
	斑點豬寶寶		24	10	36	11	40	0.2	
	刺豬寶寶		32	37	12	30	10	0.2	
	白紋豬寶寶		32	10	17	22	40	0.2	
	天然寶石鼠		12	12	17	39	45	0.2	
	天狼星		22	39	15	33	16	0.2	
	雷霆幻獸		17	43	6	47	12	0.2	
	聖誕火焰鼠		37	10	10	19	47	0.2	
	聖誕鼠王		15	6	12	43	49	0.2	
	聖誕水藍鼠		36	50	12	20	6	0.2	
	糖果大地鼠		10	32	10	26	45	0.2	
	聖誕寶石鼠		10	14	12	40	47	0.2	
	聖誕麋鹿		38	35	25	15	10	0.2	
	聖誕馴鹿		38	25	35	15	10	0.2	
	聖誕林鹿		25	38	35	15	10	0.2	
	聖誕梅花鹿		35	38	25	15	10	0.2	
	聖誕小熊		24	24	24	24	24	0.2	
	淘氣小熊		24	24	24	24	24	0.2	
	可愛小熊		24	24	24	24	24	0.2	
	搗蛋小熊		24	24	24	24	24	0.2	
	紫翎		20	6	13	45	40	0.2	
	喜慶虎寶寶		18	10	19	35	41	0.2	
	歡樂虎寶寶		24	10	35	12	42	0.2	
	招財虎寶寶		13	10	27	32	41	0.2	
	幸福虎寶寶		11	41	11	19	41	0.2	
	萬年龜		22	21	39	4	38	0.2	
	月仙兔		45	33	13	25	8	0.2	
	月夜兔		25	34	9	45	11	0.2	
	月地兔		22	43	22	22	14	0.2	
	月冰兔		22	22	43	14	22	0.2	
	月火兔		22	22	14	43	22	0.2	
	月風兔		22	14	22	22	43	0.2	
	強盾守護		36	33	30	13	13	0.2	
	鑽石蟲		11	21	38	17	33	0.2	
	黑曜蟲		17	21	40	9	33	0.2	
	風甲蜥蜴		35	34	32	12	12	0.2	
	死亡騎士		24	16	24	16	40	0.2	
	凱法		41	6	12	20	46	0.2	
	猩紅騎士		21	36	13	28	22	0.2	
	帕布提斯馬		50	30	13	26	6	0.2	
	純白精靈箱		17	6	12	40	50	0.2	
	藍魔精靈箱		47	34	17	18	9	0.2	
	紅魔精靈箱		34	9	17	18	47	0.2	
	兔耳精靈箱		19	6	12	40	48	0.2	
	嚇人精靈箱		34	47	17	18	9	0.2	
	綠蛙精靈箱		18	9	34	17	47	0.2	
	暴走霸王		17	44	12	46	6	0.2	
	毒刺魔鴨		38	9	13	19	44	0.2	
	水藍魔鴨		38	44	13	19	9	0.2	
	赤目魔鴨		44	19	13	38	9	0.2	
	披甲魔鴨		19	38	13	44	9	0.2	
	暴走使徒		16	6	15	42	46	0.2	
	蟲毒魔蟹		12	30	32	6	45	0.2	
	無頭將軍		34	27	26	13	20	0.2	
	沙海將軍		45	41	12	19	8	0.2	
	血腥魔刃		14	6	31	34	40	0.2	
	碧月		16	9	45	16	37	0.2	
	青月		24	42	14	34	9	0.2	
	絳月		26	33	16	39	9	0.2	
	橙月		34	36	30	14	9	0.2	
	青銅刺豚		14	39	30	22	15	0.2	
	逆刃死灰		40	42	16	14	13	0.2	
	龍蝦霸王		37	50	16	16	6	0.2	
	沼澤龍蝦		29	47	26	14	7	0.2	
	海龍蝦		31	45	23	16	8	0.2	
	烈焰龍蝦		28	48	19	21	7	0.2	
	烈風龍蝦		27	46	18	24	8	0.2	
	牛角寄居蟹		18	9	31	17	35	0.2	
	金甲蟲		18	37	37	11	20	0.2	
	櫻花螳螂		18	45	22	27	11	0.2	
	赤炎假面		31	10	22	19	43	0.2	
	巨斧假面		36	39	21	19	10	0.2	
	魔法師之鬼		17	12	16	28	47	0.2	
	巫師之鬼		16	31	17	40	16	0.2	
	卡爾克		12	45	20	26	17	0.2	
	卡卡特		20	43	18	27	12	0.2	
	魔導師之魂		18	10	14	34	49	0.2	
	巫妖王之魂		26	31	14	44	10	0.2	
	血魔之棺		23	49	17	26	10	0.2	
	白銀之棺		33	10	16	21	45	0.2	
	龍骨		32	35	20	21	16	0.2	
	暗黑龍骨		30	16	27	14	37	0.2	
	玄翼暴龍		40	40	14	21	10	0.2	
	闇影魔龍		35	10	16	24	40	0.2	
	幽紫妖靈		19	11	23	33	39	0.2	
	獅面女神		33	14	22	19	35	0.2	
	貓臉女神		42	37	12	18	14	0.2	
	貓隊長		35	42	17	19	10	0.2	
	惡夢貓		15	20	20	32	36	0.2	
	福爾菲斯		14	40	12	18	39	0.2	
	萬聖南瓜精靈		18	6	22	31	48	0.2	
	晨曦南瓜怪		15	33	15	45	15	0.2	
	白晝南瓜怪		45	15	33	15	15	0.2	
	黃昏南瓜怪		15	45	15	33	15	0.2	
	暮夜南瓜怪		15	15	45	15	33	0.2	
	舞動花妖		36	12	17	16	39	0.2	
	迷魂草		29	17	15	22	37	0.2	
	致幻海葵		28	14	22	13	33	0.2	
	迷幻海葵		32	13	23	11	31	0.2	
	大地巨龍		29	22	24	13	32	0.2	
	失翼之龍杜瓦		40	6	10	19	50	0.2	
	暗裔龍祖		20	47	13	38	7	0.2	
	黑暗水龍蜥		38	38	35	9	5	0.2	
	翼龍		32	30	26	19	18	0.2	
	神聖翼龍		16	6	14	43	46	0.2	
	飛刺海馬		13	36	19	33	19	0.2	
	火頸龍		24	16	15	28	37	0.2	
	碧角口袋龍		12	40	13	18	42	0.2	
	荒漠兔耳仙人掌		26	42	16	25	13	0.2	
	迷幻歌妖		16	21	8	41	36	0.2	
	墮落惡魔螃蟹		22	38	40	13	8	0.2	
	夜行貓人		24	31	16	40	14	0.2	
	禁地妖花		33	13	18	23	38	0.2	
	深淵武裝骷髏		18	23	43	8	28	0.2	
	懷舊樹精		42	31	34	14	3	0.2	
	赤炎黃蜂		14	38	15	43	10	0.2	
	黃金鼠王		18	8	20	34	45	0.2	
	變異龍祖		26	46	13	33	7	0.2	
	粉紅炸彈		18	11	16	30	48	0.2	
	劇毒螃蟹		12	31	36	8	36	0.2	
	雷獸		16	40	8	43	18	0.2	
	改造殭屍		41	36	16	16	16	0.2	
	改造黃蠍		20	10	43	12	40	0.2	
	改造掃把蝙蝠		6	44	6	33	36	0.2	
	改造烈風哥布林		26	49	22	22	8	0.2	
	祥雲寶寶		23	10	8	36	46	0.2	
	小白龍(特效)		20	36	9	42	16	0.2	
72	改造水蜘蛛		28	20	21	24	32	0.2	
